Aircraft Registration,Trax,Non-Routine/ Complaint/ WO Number,.pdf Document Name,Reported Date,ATA,Sub-ATA,Section,To Section,Station,Plus,mm/ Inch,To Station,Plus,mm/ Inch,Stringer,Plus,mm/ Inch,To Stringer,Plus,mm/ Inch,Water Line,To Water Line,Buttock Line,To Buttock Line,Damage Type,Component,Component,In Limits,In Limits Acc. Maint Data,Repair Performed,Repair Type,Repair Maintenance Data,Dimension:,mm/ Inch,Dimension,mm/ Inch,,mm/ Inch,Blend Repair,Blend Width,mm/ Inch,Blend Length,mm/ Inch,Blend Remaining Thickness,mm/ Inch,"Repair Status (A,B,C, N/A)",Major Repair,
,Defect Report Number,(MRO's reference number),,,,,,,,,,,,,,,,,,,,,,,,PN,SN,IN/OUT,,Y/N,,,(L) ,,(W) ,,Dimension,,Y/N,,,,,,,,Y/N,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Y),,,,,,,,,,,
PH-HSA,,WO6008469-1,SDR_106_WO6008469 (Corrosion 3),2/15/2023,54,10,INTAKE RH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,689001,OUT,,Y,BLEND REPAIR,SRM 54-10-01 AD 1,,,,,,,Y,30,mm,30,mm,"1,56",mm,CAT-A,N,6 oclock
PH-HSA,,WO6008469-1,SDR_106_WO6008469 (Corrosion 4),2/15/2023,54,10,INTAKE RH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,689001,OUT,,Y,BLEND REPAIR,SRM 54-10-01 AD 1,,,,,,,Y,30,mm,35,mm,"1,58",mm,CAT-A,N,8 oclock
PH-HSA,,WO6008469-1,SDR_106_WO6008469 (Corrosion 5),2/15/2023,54,10,INTAKE RH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-2,689001,OUT,,Y,BLEND REPAIR,SRM 54-10-01 AD 1,,,,,,,Y,25,mm,35,mm,"1,59",mm,CAT-A,N,8:30 oclock
PH-HSA,,WO6007537-1 (Wear 1),SDR_107_WO6007537,10/2/2023,53,60,43,,,,,,,,,,,,,,,,,,WEAR,,,OUT,,Y,BLEND REPAIR,,,,,,,,Y,14,mm,8,mm,,mm,CAT-A,N,Panel 194AR
PH-HSA,,WO6007537-1 (Wear 2),SDR_107_WO6007537,10/2/2023,53,60,43,,,,,,,,,,,,,,,,,,WEAR,,,OUT,,Y,BLEND REPAIR,,,,,,,,Y,18,mm,12,mm,,mm,CAT-A,N,Panel 194AR
PH-HSA,,WO6007537-1 (Wear 3),SDR_107_WO6007537,10/2/2023,53,60,43,,,,,,,,,,,,,,,,,,GOUGE,,,OUT,,Y,BLEND REPAIR,SRM 53-60-70 AD 1,,,,,,,Y,,,,,,,CAT-A,N,Panel 194FR /Paint touch up
PH-HSA,,WO6007552-1 (Wear 1),SDR_108_WO6007552,10/2/2023,53,60,43,,,,,,,,,,,,,,,,,,WEAR,,,OUT,,Y,BLEND REPAIR,RDR No.CZT-TAV-23-0077-04B,,,,,,,Y,10,mm,12,mm,,mm,CAT-A,N,Pane 194AL
PH-HSA,,WO6007552-1 (Wear 2),SDR_108_WO6007552,10/2/2023,53,60,43,,,,,,,,,,,,,,,,,,WEAR,,,OUT,,Y,BLEND REPAIR,,,,,,,,,,,,,,,,,Panel 194AL/Paint touch up
PH-HSA,,WO6008057-1,SDR_109_WO6008057,2/13/2023,54,10,INTAKE LH,,,,,,,,,,,,,,,,,,DENT,,,OUT,,N,DENT (IN LIMITS),SRM 54-10-01 AD 1,"36,2",mm,"10,15",mm,"0,32",mm,,,,,,,,CAT-A,,6 oclock
PH-HSA,,WO6007142-1,SDR_110_WO6007142,8/2/2023,53,10,43,,,,,,,,,,,,,,,,,,CRACK,,,OUT,,Y,,SRM 53-30-15 Repair 1,,,,,,,,,,,,,,CAT-A,N,Cargo door scuff plates
PH-HSA,,WO6006913-1,SDR_111_WO6006913,8/2/2023,57,10,44,,663.75,,,,,,,,,,,,,,,,CRACK,,,OUT,,Y,COMPOSITE REPAIR,SRM 57-10-10 Repair 2,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5738462-1,WO 5738462,1/26/2022,57,20,WING RH,,,,,,,,,,,,,,,,,,CORROSION,,,OUT,,Y,,SRM 57-20-90 Repair 2,,,,,,,,,,,,,,CAT-A,N,RH MLG FWD Trunnion
PH-HSG,,5738463-1,WO 5738463,1/26/2022,57,20,WING LH,,,,,,,,,,,,,,,,,,CORROSION,,,OUT,,Y,,SRM 57-20-90 Repair 2,,,,,,,,,,,,,,CAT-A,N,LH MLG FWD Trunnion
PH-HSG,,5738613-1,WO 5738613,1/27/2022,53,40,41,,,,,,,,,,,,,,,,,,CRACK,,,OUT,,Y,COMPOSITE REPAIR,SRM 53-40-70 Repair 1 CM 155451 refers,,,,,,,,,,,,,,CAT-A,N,Panel 195CL
PH-HSG,,5744588-1,WO 5744588,10/2/2022,57,51,WING RH,,,,,,,,,,,,,,,,,,WEAR,,,OUT,,Y,FASTENER REPLACEMENT,SRM 57-53-70 repair 2,,,,,,,,,,,,,,CAT-A,N,Flap Track fairing
PH-HSG,,5758497-1,WO 5758497,1/3/2022,53,10,,,,,,,,,,,,,,,,,,,WEAR,,,OUT,,Y,,SRM 53-10-15 Repair 4,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5758676-1,WO 5758676,1/3/2022,53,30,41,,294.5,,,303.9,,,S-18R,,,S-19R,,,,,,,DENT,,,OUT,,Y,BLEND REPAIR,RDR CZT-TAV-22-0112-05B,,,,,,,Y,15,mm,30,mm,"2,44",mm,CAT-A,N,
PH-HSG,,5758682-1,WO 5758682,2/3/2022,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Panel 194FR
PH-HSG,,5758685-1,WO 5758685,2/3/2022,53,,,,,,,,,,,,,,,,,,,,CHAFING,149A7550-18,,OUT,,Y,COMPOSITE REPAIR,RDR CZT-TAV-22-0105-02B,"0,390",Inch,"0,390",Inch,,,,,,,,,,CAT-A,N,Panel 194AR
PH-HSG,,5758687-1,WO 5758687,2/3/2022,53,,,,,,,,,,,,,,,,,,,,CHAFING,,,OUT,,Y,COMPOSITE REPAIR,RDR CZT-TAV-22-0106-02B,,mm,,mm,,,,,,,,,,CAT-A,N,Panel 194AL
PH-HSG,,5758801-1,WO 5758801,2/3/2022,54,0,INTAKE RH,,,,,,,,,,,,,,,,,,WEAR,314-2100-3,8048001,OUT,,Y,FASTENER REPLACEMENT,SRM 54-10-01 AD 2,,,,,,,,,,,,,,CAT-A,N,10 oclock position
PH-HSG,,5758804-1,WO 5758804,2/3/2022,54,10,INTAKE LH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-3,8047001,OUT,,Y,BLEND REPAIR,SRM 54-10-01 AD 1,,,,,,,Y,30,mm,30,mm,"1,59",mm,CAT-A,N,2 oclock
PH-HSG,,5758805-1 (Corrosion 1),WO 5758805,2/3/2022,54,10,INTAKE LH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-3,8047001,OUT,,Y,BLEND REPAIR,SRM 54-10-01 AD 1,,,,,,,Y,35,mm,30,mm,"1,59",mm,CAT-A,N,2 oclock
PH-HSG,,5758805-1 (Corrosion 2),WO 5758805,2/3/2022,54,10,INTAKE LH,,,,,,,,,,,,,,,,,,CORROSION,314-2100-3,8047001,OUT,,Y,BLEND REPAIR,SRM 54-10-01 AD 1,,,,,,,Y,20,mm,30,mm,"1,51",mm,CAT-A,N,4 oclock
PH-HSG,,5759223-1,WO 5759223,2/3/2022,53,10,41,,203.8,,,211.8,,,S-23L,,,S-24L,,,,,,,DENT,,,OUT,,Y,DOUBLER,CZT-TAV-22-0108-13C Form 8100-9,580,mm,550,mm,,,,,,,,,,CAT-B,N,
PH-HSG,,5759592-1 (Dent 1),WO 5759592,2/3/2022,52,30,43,,442550,,,455.05,,,DOOR-CRG-A,,,DOOR-CRG-B,,,,,,,DENT,,,IN,SRM 52-30-01 AD 1,N,DENT (IN LIMITS),,220,mm,15,mm,"0,08",mm,,,,,,,,,,
PH-HSG,,5759592-1 (Dent 2),WO 5759592,2/3/2022,52,30,43,,442550,,,455.05,,,DOOR-CRG-A,,,DOOR-CRG-B,,,,,,,DENT,,,IN,SRM 52-30-01 AD 1,N,DENT (IN LIMITS),,60,mm,15,mm,"0,02",mm,,,,,,,,,,
PH-HSG,,5759592-1 (Dent 3),WO 5759592,2/3/2022,52,30,43,,442550,,,455.05,,,DOOR-CRG-B,,,DOOR-CRG-C,,,,,,,DENT,,,IN,SRM 52-30-01 AD 1,N,DENT (IN LIMITS),,90,mm,20,mm,"0,05",mm,,,,,,,,,,
PH-HSG,,5759592-1 (Dent 4),WO 5759592,2/3/2022,52,30,43,,442550,,,455.05,,,DOOR-CRG-A,,,DOOR-CRG-B,,,,,,,DENT,,,IN,SRM 52-30-01 AD 1,N,DENT (IN LIMITS),,110,mm,15,mm,"0,09",mm,,,,,,,,,,
PH-HSG,,5760250-1 (Dent 1),WO 5760250,2/3/2022,52,30,46,,818400,,,829.35,,,DOOR-CRG-B,,,DOOR-CRG-C,,,,,,,DENT,,,IN,SRM 52-30-01 AD 1,N,DENT (IN LIMITS),,70,mm,15,mm,"0,070",mm,,,,,,,,,,
PH-HSG,,5760250-1 (Dent 2),WO 5760250,2/3/2022,52,30,46,,809350,,,818.4,,,DOOR-CRG-B,,,DOOR-CRG-C,,,,,,,DENT,,,IN,SRM 52-30-01 AD 1,N,DENT (IN LIMITS),,80,mm,15,mm,"0,030",mm,,,,,,,,,,
PH-HSG,,5760250-1 (Dent 3),WO 5760250,2/3/2022,52,30,46,,796980,,,809.35,,,DOOR-CRG-D,,,DOOR-CRG-E,,,,,,,DENT,,,IN,SRM 52-30-01 AD 1,N,DENT (IN LIMITS),,50,mm,20,mm,"0,410",mm,,,,,,,,,,
PH-HSG,,5760250-1 (Dent 4),WO 5760250,2/3/2022,52,30,46,,796980,,,809.35,,,DOOR-CRG-C,,,DOOR-CRG-D,,,,,,,DENT,,,IN,SRM 52-30-01 AD 1,N,DENT (IN LIMITS),,70,mm,18,mm,"0,320",mm,,,,,,,,,,
PH-HSG,,5760250-1 (Dent 5),WO 5760250,2/3/2022,52,30,46,,796980,,,809.35,,,DOOR-CRG-C,,,DOOR-CRG-D,,,,,,,DENT,,,IN,SRM 52-30-01 AD 1,N,DENT (IN LIMITS),,65,mm,15,mm,"0,370",mm,,,,,,,,,,
PH-HSG,,5760254-1 (Dent 1),WO 5760254,2/3/2022,53,0,48,,,,,,,,S-13L,,,S-14L,,,,,,,DENT,,,IN,SRM 53-00-01 AD 1,N,DENT (IN LIMITS),,50,mm,20,mm,"0,02",mm,,,,,,,,,,
PH-HSG,,5760254-1 (Dent 2),WO 5760254,2/3/2022,53,0,48,,,,,,,,S-14L,,,S-15L,,,,,,,DENT,,,IN,SRM 53-00-01 AD 1,N,DENT (IN LIMITS),,40,mm,20,mm,"0,03",mm,,,,,,,,,,
PH-HSG,,5760254-1 (Dent 3),WO 5760254,2/3/2022,53,0,48,,,,,,,,S-14L,,,S-15L,,,,,,,DENT,,,IN,SRM 53-00-01 AD 1,N,DENT (IN LIMITS),,10,mm,15,mm,"0,02",mm,,,,,,,,,,
PH-HSG,,5760390-1,WO 5760390,3/3/2022,53,0,41,,188,-14,mm,,,,S-16L,60,mm,S-18L,,,,,,,DENT,,,IN,,,,,,,,,,,,,,,,,,,,
PH-HSG,,5760519-1 (Dent 1),WO 5760519,3/3/2022,57,70,WING LH,,FLAP-AFTOB,,,,,,,,,,,,,,,,DENT,113A3700-25,4031,OUT,,Y,REWORK,RDR No CZT-TAV-22-0109-06B,,mm,,mm,,mm,,,,,,,,CAT-A,N,
PH-HSG,,5760519-1 (Dent 2),WO 5760519,3/3/2022,57,70,WING LH,,FLAP-AFTOB,,,,,,,,,,,,,,,,DENT,113A3700-25,4031,OUT,,Y,REWORK,RDR No CZT-TAV-22-0109-06B,,mm,,mm,,mm,,,,,,,,CAT-A,N,
PH-HSG,,5760519-1 (Dent 3),WO 5760519,3/3/2022,57,70,WING LH,,FLAP-AFTOB,,,,,,,,,,,,,,,,DENT,113A3700-25,4031,OUT,,Y,REWORK,RDR No CZT-TAV-22-0109-06B,,mm,,mm,,mm,,,,,,,,CAT-A,N,
PH-HSG,,5760606-1 (Dent 1),WO 5760606,4/3/2022,57,53,,,,,,,,,,,,,,,,,,,DENT,,,IN,SRM 57-53-01 AD 2,N,DENT (IN LIMITS),,7,mm,7,mm,"0,072",mm,,,,,,,,,,1480mm from Inboard Edge and 143mm from TE
PH-HSG,,5760606-1 (Dent 2),WO 5760606,4/3/2022,57,53,,,,,,,,,,,,,,,,,,,DENT,,,IN,SRM 57-53-01 AD 2,N,DENT (IN LIMITS),,10,mm,10,mm,"0,062",mm,,,,,,,,,,1290mm from Inboard Edge and 172mm from TE
PH-HSG,,5760645-1 (Hole 1),WO 5760645,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA121.59,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,RDR No CZT-TAV-22-0120-02B,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760645-1 (Hole 2),WO 5760645,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA121.59,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,RDR No CZT-TAV-22-0120-02B,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760645-1 (Hole 3),WO 5760645,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA121.59,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,RDR No CZT-TAV-22-0120-02B,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760645-1 (Hole 4),WO 5760645,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA121.59,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,RDR No CZT-TAV-22-0120-02B,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760645-1 (Hole 5),WO 5760645,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA121.59,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,RDR No CZT-TAV-22-0120-02B,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760645-1 (Hole 6),WO 5760645,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA121.59,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,RDR No CZT-TAV-22-0120-02B,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760645-1 (Hole 7),WO 5760645,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA121.59,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,RDR No CZT-TAV-22-0120-02B,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760645-1 (Hole 8),WO 5760645,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA121.59,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,RDR No CZT-TAV-22-0120-02B,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760645-1 (Hole 9),WO 5760645,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA121.59,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,RDR No CZT-TAV-22-0120-02B,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760645-1 (Hole 10),WO 5760645,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA121.59,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,RDR No CZT-TAV-22-0120-02B,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760645-1 (Hole 11),WO 5760645,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA121.59,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,RDR No CZT-TAV-22-0120-02B,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760645-1 (Hole 12),WO 5760645,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA121.59,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,RDR No CZT-TAV-22-0120-02B,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760645-1 (Hole 13),WO 5760645,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA121.59,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,RDR No CZT-TAV-22-0120-02B,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760645-1 (Hole 14),WO 5760645,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA121.59,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,RDR No CZT-TAV-22-0120-02B,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760645-1 (Hole 15),WO 5760645,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA121.59,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,RDR No CZT-TAV-22-0120-02B,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760645-1 (Hole 16),WO 5760645,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA121.59,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,RDR No CZT-TAV-22-0120-02B,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760645-1 (Hole 17),WO 5760645,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA121.59,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,RDR No CZT-TAV-22-0120-02B,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760645-1 (Hole 18),WO 5760645,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA121.59,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,RDR No CZT-TAV-22-0120-02B,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760645-1 (Hole 19),WO 5760645,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA121.59,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,RDR No CZT-TAV-22-0120-02B,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760645-1 (Hole 20),WO 5760645,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA121.59,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,RDR No CZT-TAV-22-0120-02B,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760645-1 (Hole 21),WO 5760645,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA121.59,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,RDR No CZT-TAV-22-0120-02B,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760645-1 (Hole 22),WO 5760645,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA121.59,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,RDR No CZT-TAV-22-0120-02B,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760645-1 (Hole 23),WO 5760645,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA121.59,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,RDR No CZT-TAV-22-0120-02B,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760645-1 (Hole 24),WO 5760645,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA121.59,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,RDR No CZT-TAV-22-0120-02B,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760645-1 (Hole 25),WO 5760645,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA121.59,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,RDR No CZT-TAV-22-0120-02B,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760645-1 (Hole 26),WO 5760645,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA121.59,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,RDR No CZT-TAV-22-0120-02B,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-1-1,WO 5760649-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PH-HSG,,5760649-2-1 (Hole 1),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 2),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 3),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 4),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 5),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 6),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 7),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 8),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 9),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 10),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 11),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 12),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 13),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 14),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 15),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 16),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 17),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 18),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 19),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 20),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 21),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
PH-HSG,,5760649-2-1 (Hole 22),WO 5760649-2,4/3/2022,55,10,HOR STAB R,,HSTA66.50,,,HSTA149.12,,,,,,,,,,,,,CORROSION,186A2000-45,SAMC0002310,OUT,,Y,,CZT-TAV-22-0119-03C FAA 8100-9,,,,,,,,,,,,,,CAT-A,N,
